Id,Rank,Year,Name,Count,Change1,Change1Year,Change2,Change2Year
1,1,2019,OLIVER,4932,0,2018,0,2009
2,2,2019,GEORGE,4575,0,2018,9,2009
3,3,2019,NOAH,4265,1,2018,29,2009
4,4,2019,ARTHUR,4211,3,2018,89,2009
5,5,2019,HARRY,3823,-2,2018,-2,2009
6,6,2019,LEO,3637,0,2018,34,2009
7,7,2019,MUHAMMAD,3604,1,2018,29,2009
8,8,2019,JACK,3381,-3,2018,-6,2009
9,9,2019,CHARLIE,3355,1,2018,-2,2009
10,10,2019,OSCAR,3334,-1,2018,13,2009
11,11,2019,JACOB,3065,0,2018,7,2009
12,12,2019,HENRY,3012,1,2018,25,2009
13,13,2019,THOMAS,2957,-1,2018,-7,2009
14,14,2019,FREDDIE,2907,4,2018,39,2009
15,15,2019,ALFIE,2785,0,2018,-11,2009
15,15,2019,THEO,2729,3,2018,39,2009
17,17,2019,WILLIAM,2667,-3,2018,-9,2009
18,18,2019,THEODORE,2663,11,2018,120,2009
19,19,2019,ARCHIE,2544,-3,2018,1,2009
20,20,2019,JOSHUA,2450,-3,2018,-15,2009
21,21,2019,ALEXANDER,2344,1,2018,1,2009
22,22,2019,JAMES,2336,-1,2018,-13,2009
23,23,2019,ISAAC,2331,-3,2018,18,2009
24,24,2019,EDWARD,2125,0,2018,20,2009
25,25,2019,LUCAS,2075,1,2018,-8,2009
26,26,2019,TOMMY,1877,24,2018,111,2009
27,27,2019,FINLEY,1842,3,2018,16,2009
28,28,2019,MAX,1835,3,2018,-3,2009
29,29,2019,LOGAN,1808,-6,2018,6,2009
30,30,2019,ETHAN,1770,-5,2018,-17,2009
31,31,2019,MOHAMMED,1752,1,2018,-15,2009
32,32,2019,TEDDY,1704,7,2018,179,2009
33,33,2019,BENJAMIN,1701,2,2018,-18,2009
34,34,2019,ARLO,1678,2,2018,277,2009
35,35,2019,JOSEPH,1678,-7,2018,-20,2009
36,36,2019,SEBASTIAN,1678,-6,2018,28,2009
37,37,2019,HARRISON,1663,-3,2018,5,2009
38,38,2019,ELIJAH,1621,3,2018,102,2009
39,39,2019,ADAM,1618,-1,2018,-5,2009
40,40,2019,DANIEL,1545,-3,2018,-30,2009
41,41,2019,SAMUEL,1540,-8,2018,-29,2009
42,42,2019,LOUIE,1446,6,2018,42,2009
43,43,2019,MASON,1433,-3,2018,2,2009
44,44,2019,REUBEN,1424,-2,2018,35,2009
45,45,2019,ALBIE,1400,7,2018,246,2009
46,46,2019,RORY,1357,1,2018,96,2009
47,47,2019,JAXON,1356,-1,2018,414,2009
48,48,2019,HUGO,1329,5,2018,116,2009
49,49,2019,LUCA,1306,2,2018,23,2009
50,50,2019,ZACHARY,1295,4,2018,17,2009
51,51,2019,REGGIE,1290,-6,2018,165,2009
52,52,2019,HUNTER,1278,-8,2018,796,2009
53,53,2019,LOUIS,1274,16,2018,13,2009
54,54,2019,DYLAN,1260,-11,2018,-35,2009
55,55,2019,ALBERT,1228,0,2018,105,2009
56,56,2019,DAVID,1168,-7,2018,8,2009
57,57,2019,JUDE,1163,-1,2018,41,2009
58,58,2019,FRANKIE,1118,5,2018,63,2009
59,59,2019,ROMAN,1115,3,2018,111,2009
60,60,2019,EZRA,1105,-1,2018,416,2009
61,61,2019,TOBY,1104,-4,2018,-4,2009
62,62,2019,RILEY,1048,-4,2018,-33,2009
63,63,2019,CARTER,1001,-3,2018,144,2009
64,64,2019,RONNIE,992,2,2018,67,2009
65,65,2019,FREDERICK,983,0,2018,31,2009
66,66,2019,GABRIEL,923,-5,2018,9,2009
67,67,2019,STANLEY,922,5,2018,31,2009
68,68,2019,BOBBY,903,5,2018,36,2009
69,69,2019,JESSE,859,6,2018,139,2009
70,70,2019,MICHAEL,835,4,2018,-19,2009
71,71,2019,ELLIOT,825,-3,2018,16,2009
72,72,2019,GRAYSON,822,11,2018,900,2009
73,73,2019,MOHAMMAD,807,-2,2018,-11,2009
74,74,2019,LIAM,798,11,2018,-50,2009
75,75,2019,JENSON,797,-5,2018,68,2009
76,76,2019,ELLIS,780,11,2018,9,2009
77,77,2019,HARLEY,771,-13,2018,-21,2009
78,78,2019,HARVEY,769,0,2018,-39,2009
79,79,2019,JAYDEN,760,-2,2018,-53,2009
80,80,2019,JAKE,755,-13,2018,-53,2009
81,81,2019,RALPH,748,7,2018,213,2009
82,82,2019,ROWAN,734,7,2018,73,2009
83,83,2019,ELLIOTT,728,3,2018,51,2009
84,84,2019,JASPER,720,5,2018,96,2009
84,84,2019,OLLIE,708,11,2018,30,2009
86,86,2019,CHARLES,707,-5,2018,-28,2009
87,87,2019,FINN,707,-10,2018,40,2009
88,88,2019,FELIX,694,5,2018,34,2009
89,89,2019,CALEB,693,-10,2018,15,2009
90,90,2019,CHESTER,680,22,2018,430,2009
91,91,2019,JACKSON,675,-11,2018,97,2009
92,92,2019,HUDSON,671,22,2018,406,2009
93,93,2019,LEON,662,4,2018,-33,2009
94,94,2019,IBRAHIM,653,9,2018,16,2009
95,95,2019,RYAN,649,-4,2018,-65,2009
96,96,2019,BLAKE,646,-12,2018,5,2009
97,97,2019,ALFRED,645,9,2018,49,2009
98,98,2019,OAKLEY,639,22,2018,256,2009
98,98,2019,MATTHEW,633,-17,2018,-61,2009
100,100,2019,LUKE,632,-6,2018,-67,2009
